variant,metric,mean,std,n
cond_only,success_geom_rate,0.0,0.0,1.0
cond_only,bad_volume_rate,0.0,0.0,1.0
cond_only,collision_rate,0.0,0.0,1.0
cond_only,inplane_degen_rate,0.0,0.0,1.0
cond_only,cross_vacuum_risk_rate,0.0,0.0,1.0
cond_only,post_project_trigger_any_rate,0.0,0.0,1.0
cond_only,valid_rate_eval,0.0,0.0,1.0
angle_only,success_geom_rate,0.0,0.0,1.0
angle_only,bad_volume_rate,0.0,0.0,1.0
angle_only,collision_rate,0.0,0.0,1.0
angle_only,inplane_degen_rate,0.0,0.0,1.0
angle_only,cross_vacuum_risk_rate,0.0,0.0,1.0
angle_only,post_project_trigger_any_rate,0.0,0.0,1.0
angle_only,valid_rate_eval,0.0,0.0,1.0
volume_only,success_geom_rate,0.625,0.0,1.0
volume_only,bad_volume_rate,0.0,0.0,1.0
volume_only,collision_rate,0.0,0.0,1.0
volume_only,inplane_degen_rate,0.0,0.0,1.0
volume_only,cross_vacuum_risk_rate,0.25,0.0,1.0
volume_only,post_project_trigger_any_rate,0.0,0.0,1.0
volume_only,valid_rate_eval,0.625,0.0,1.0
cond_angle,success_geom_rate,0.0,0.0,1.0
cond_angle,bad_volume_rate,0.0,0.0,1.0
cond_angle,collision_rate,0.0,0.0,1.0
cond_angle,inplane_degen_rate,0.0,0.0,1.0
cond_angle,cross_vacuum_risk_rate,0.0,0.0,1.0
cond_angle,post_project_trigger_any_rate,0.0,0.0,1.0
cond_angle,valid_rate_eval,0.0,0.0,1.0
full_projection,success_geom_rate,0.625,0.0,1.0
full_projection,bad_volume_rate,0.0,0.0,1.0
full_projection,collision_rate,0.0,0.0,1.0
full_projection,inplane_degen_rate,0.0,0.0,1.0
full_projection,cross_vacuum_risk_rate,0.25,0.0,1.0
full_projection,post_project_trigger_any_rate,0.0,0.0,1.0
full_projection,valid_rate_eval,0.625,0.0,1.0
